id,park_code,name,full_name,designation,description,street,city,state,zipcode,lat_long,url
77E0D7F0-1942-494A-ACE2-9004D2BDC59E,abli,Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",2995 Lincoln Farm Road,Hodgenville,KY,42748,"lat:37.5858662, long:-85.67330523",https://www.nps.gov/abli/index.htm
6DA17C86-088E-4B4D-B862-7C1BD5CF236B,acad,Acadia,Acadia National Park,National Park,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",25 Visitor Center Road,Bar Harbor,ME,04609,"lat:44.409286, long:-68.247501",https://www.nps.gov/acad/index.htm
E4C7784E-66A0-4D44-87D0-3E072F5FEF43,adam,Adams,Adams National Historical Park,National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",1250 Hancock Street,Quincy,MA,02169,"lat:42.2553961, long:-71.01160356",https://www.nps.gov/adam/index.htm
1A47416F-DAA3-4137-9F30-14AF86B4E547,afam,African American Civil War Memorial,African American Civil War Memorial,,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",1925 Vermont Avenue Northwest,Washington,DC,20001,"lat:38.916554, long:-77.025977",https://www.nps.gov/afam/index.htm
E6E1D22A-7A89-47F8-813C-B611059A8CF9,afbg,African Burial Ground,African Burial Ground National Monument,National Monument,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,African Burial Ground National Monument,New York,NY,10007,"lat:40.71452681, long:-74.00447358",https://www.nps.gov/afbg/index.htm
64B9F127-31ED-43C9-882D-D7CD471AF314,agfo,Agate Fossil Beds,Agate Fossil Beds National Monument,National Monument,"During the 1890s, scientists rediscovered what the Lakota Sioux already knew—bones preserved in one of the world's most significant Miocene Epoch mammal sites. Yet, this place called ""Agate"" is a landscape that reflects many influences—from early animals roaming the valleys and hills, to tribal nations calling the High Plains home, to explorers passing through or settling in the American West.",301 River Road,Harrison,NE,69346,"lat:42.42170419, long:-103.753886",https://www.nps.gov/agfo/index.htm
3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,alka,Ala Kahakai,Ala Kahakai National Historic Trail,National Historic Trail,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!",Superintendent,Kailua-Kona,HI,96740,,https://www.nps.gov/alka/index.htm
C4E1A9A4-D121-4734-94FA-7788A93C2AAA,alag,Alagnak,Alagnak Wild River,Wild River,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.","1000 Silver St., Bldg. 603",King Salmon,AK,99613,"lat:59.05180188, long:-156.112002",https://www.nps.gov/alag/index.htm
7D6098F9-3F75-4775-A56D-CD9C7F9A9488,anch,Alaska Public Lands,Alaska Public Lands,,"Alaska’s parks, forests, and refuges are rich and varied. The Anchorage Interagency Visitor Center helps visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. This center and three others statewide provide trip-planning, interpretation, and education for all ages.",605 West 4th Avenue,Anchorage,AK,99501,"lat:61.2188, long:-149.894536",https://www.nps.gov/anch/index.htm
C08AD828-98FF-478E-A63C-614E7534274B,alca,Alcatraz Island,Alcatraz Island,,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",Alcatraz Island,San Francisco Bay,CA,94133,"lat:37.82676234, long:-122.4230206",https://www.nps.gov/alca/index.htm
94B046DC-2AFD-4ECB-A60D-CE210A8550B1,aleu,Aleutian Islands World War II,Aleutian Islands World War II National Historic Area,National Historic Area,"During World War II the remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax̂ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.","Affiliated Areas, Alaska Regional Office",Anchorage,AK,99501,"lat:53.9143076, long:-166.5197218",https://www.nps.gov/aleu/index.htm
6D82D070-995A-4524-A56E-C1CE182E7D9B,alfl,Alibates Flint Quarries,Alibates Flint Quarries National Monument,National Monument,"13,000 years ago, this site was well-known by mammoth hunters as a source of flint for tools. Centuries passed but the colorful flint never lost its value and usefulness in the Texas Panhandle. Gain a sense of how integral this site was to the survival, commerce and culture of the High Plains. Visit Alibates Flint Quarries to see the many colors of the beautiful Alibates Flint.",37084 Alibates Rd.,Potter County,TX,79036,"lat:35.5819662, long:-101.6717008",https://www.nps.gov/alfl/index.htm
3350C18C-8E07-487B-930E-37AD873D31AD,alpo,Allegheny Portage Railroad,Allegheny Portage Railroad National Historic Site,National Historic Site,"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Mainline Canal. ""The Portage,"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",110 Federal Park Road,Gallitzin,PA,16641,"lat:40.42977467, long:-78.57431622",https://www.nps.gov/alpo/index.htm
