date,datatype,station,attributes,value
2015-01-01T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",31.0
2015-01-01T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",14.0
2015-01-02T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",36.0
2015-01-02T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",14.0
2015-01-03T00:00:00,TMAX,GHCND:USR0000MMCF,"H,I,U,",24.0
2015-01-03T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",5.0
2015-01-04T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",40.0
2015-01-04T00:00:00,TMIN,GHCND:USR0000MMCF,"H,I,U,",26.0
2015-01-05T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",42.0
2015-01-05T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",2.0
2015-01-06T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",12.0
2015-01-06T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",-2.0
2015-01-07T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",21.0
2015-01-07T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",-2.0
2015-01-08T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",15.0
2015-01-08T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",-13.0
2015-01-09T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",30.0
2015-01-09T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",13.0
2015-01-10T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",26.0
2015-01-10T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",10.0
2015-01-11T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",28.0
2015-01-11T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",6.0
2015-01-12T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",29.0
2015-01-12T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",25.0
2015-01-13T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",25.0
2015-01-13T00:00:00,TMIN,GHCND:USR0000MMCF,"H,,U,",3.0
2015-01-14T00:00:00,TMAX,GHCND:USR0000MMCF,"H,,U,",28.0
